ra,ano,fase,fase_ideal,defasagem,pedra,inde,iaa,ieg,ips,ipp,ida,ipv,ian,nota_mat,nota_por,nota_ing,genero,idade,ano_ingresso,instituicao_ensino,indicado_bolsa,atingiu_pv,num_avaliacoes,defasagem_cat,risco_defasagem
RA-17,2022,7,8,-1,Topázio,8.068,8.8,10.0,7.5,,7.8,8.292,5.0,9.0,6.5,,Masculino,20.0,2022,Escola Pública,Sim,Não,4.0,Moderada,1
RA-18,2022,7,8,-1,Ametista,7.226,6.3,8.7,6.3,,9.0,6.875,5.0,9.0,9.0,,Masculino,19.0,2022,Escola Pública,Sim,Não,4.0,Moderada,1
RA-19,2022,7,8,-1,Ametista,7.665,7.9,9.5,7.5,,8.0,7.0,5.0,7.0,9.0,,Feminino,19.0,2022,Escola Pública,Sim,Não,4.0,Moderada,1
RA-20,2022,7,8,-1,Ametista,7.535,7.1,10.0,6.3,,7.8,7.167,5.0,9.0,6.5,,Feminino,19.0,2022,Escola Pública,Sim,Não,4.0,Moderada,1
RA-21,2022,7,8,-1,Ágata,6.945,9.6,9.2,7.5,,3.8,7.25,5.0,7.0,0.5,,Masculino,18.0,2022,Escola Pública,Sim,Não,4.0,Moderada,1
RA-22,2022,6,7,-1,Ametista,7.474,8.3,7.4,8.1,,6.7,8.833,5.0,9.0,3.1,7.8,Feminino,17.0,2019,Rede Decisão,Não,Sim,4.0,Moderada,1
RA-23,2022,6,7,-1,Ametista,7.677,8.3,8.2,8.1,,6.7,8.556,5.0,7.2,4.7,8.2,Masculino,17.0,2021,Escola Pública,Sim,Sim,4.0,Moderada,1
RA-24,2022,6,7,-1,Topázio,8.087,9.2,7.9,6.9,,8.6,9.111,5.0,10.0,6.3,9.7,Feminino,17.0,2021,Rede Decisão,Não,Sim,4.0,Moderada,1
RA-25,2022,6,7,-1,Ametista,7.979,8.3,8.3,8.8,,6.9,9.667,5.0,9.2,3.8,7.7,Feminino,17.0,2021,Escola Pública,Sim,Sim,4.0,Moderada,1
RA-26,2022,6,7,-1,Topázio,8.677,9.6,8.8,10.0,,8.0,10.0,5.0,9.5,4.4,10.0,Masculino,17.0,2022,Escola Pública,Sim,Sim,4.0,Moderada,1
RA-27,2022,6,7,-1,Ametista,7.124,0.0,7.6,8.1,,8.0,9.111,5.0,7.7,6.3,10.0,Masculino,17.0,2016,Rede Decisão,Não,Sim,4.0,Moderada,1
RA-28,2022,6,7,-1,Ágata,6.242,7.9,6.1,7.5,,5.0,6.333,5.0,8.2,1.5,5.3,Feminino,17.0,2019,Escola Pública,Não,Não,4.0,Moderada,1
RA-29,2022,6,7,-1,Quartzo,4.985,0.0,4.0,8.8,,3.7,7.611,5.0,6.3,1.1,3.8,Masculino,17.0,2022,Escola Pública,Sim,Não,4.0,Moderada,1
RA-30,2022,6,6,0,Ametista,7.605,8.8,6.4,7.5,,7.5,7.333,10.0,8.5,4.4,9.7,Feminino,16.0,2021,Escola Pública,Não,Não,4.0,Em fase/Avancado,0
RA-31,2022,6,7,-1,Topázio,8.843,10.0,9.5,9.4,,8.0,10.0,5.0,9.0,5.7,9.3,Feminino,17.0,2019,Rede Decisão,Não,Sim,4.0,Moderada,1
RA-32,2022,6,6,0,Ametista,7.37,8.8,5.2,8.8,,6.1,7.944,10.0,5.7,3.6,8.9,Feminino,16.0,2018,Rede Decisão,Não,Não,4.0,Em fase/Avancado,0
RA-33,2022,6,7,-1,Quartzo,4.952,0.0,4.6,7.5,,4.8,6.0,5.0,9.0,1.6,3.7,Feminino,17.0,2020,Escola Pública,Não,Não,4.0,Moderada,1
RA-34,2022,6,7,-1,Ágata,6.259,9.6,4.8,8.1,,3.8,7.278,5.0,4.7,4.0,2.8,Masculino,17.0,2016,Rede Decisão,Não,Não,4.0,Moderada,1
RA-35,2022,6,7,-1,Topázio,8.965,10.0,9.6,9.4,,8.5,10.0,5.0,9.0,7.1,9.3,Feminino,17.0,2019,Rede Decisão,Não,Sim,4.0,Moderada,1
RA-36,2022,6,7,-1,Ametista,7.876,9.2,9.0,6.9,,6.8,8.944,5.0,8.5,4.3,7.8,Feminino,17.0,2019,Rede Decisão,Não,Sim,4.0,Moderada,1
RA-37,2022,6,7,-1,Quartzo,4.95,0.0,5.4,5.0,,5.9,5.222,5.0,2.3,5.3,10.0,Feminino,17.0,2019,Rede Decisão,Não,Não,4.0,Moderada,1
RA-38,2022,6,7,-1,Topázio,8.523,9.2,8.9,7.5,,8.6,9.833,5.0,9.0,7.0,9.7,Feminino,17.0,2017,Rede Decisão,Não,Sim,4.0,Moderada,1
RA-39,2022,6,6,0,Ágata,6.033,0.0,4.8,6.9,,6.9,6.111,10.0,7.7,5.1,7.8,Feminino,16.0,2017,Rede Decisão,Não,Não,4.0,Em fase/Avancado,0
RA-40,2022,5,6,-1,Ametista,7.203,7.9,7.8,7.5,,6.8,7.75,5.0,4.7,7.3,8.4,Feminino,16.0,2016,Rede Decisão,Não,Não,3.0,Moderada,1
RA-41,2022,5,7,-2,Quartzo,5.581,9.2,6.1,5.0,,5.6,4.375,5.0,6.3,2.5,8.0,Masculino,17.0,2018,Escola Pública,Não,Não,3.0,Severa,1
