ra,ano,fase,fase_ideal,defasagem,pedra,inde,iaa,ieg,ips,ipp,ida,ipv,ian,nota_mat,nota_por,nota_ing,genero,idade,ano_ingresso,instituicao_ensino,indicado_bolsa,atingiu_pv,num_avaliacoes,defasagem_cat,risco_defasagem
RA-629,2022,1,1,0,Topázio,8.11,9.0,10.0,7.5,,7.0,7.278,10.0,5.0,9.0,,Masculino,9.0,2022,Escola Pública,Não,Não,3.0,Em fase/Avancado,0
RA-630,2022,1,1,0,Topázio,8.064,9.5,9.2,7.5,,7.3,7.278,10.0,6.5,8.0,,Masculino,9.0,2022,Escola Pública,Não,Não,3.0,Em fase/Avancado,0
RA-631,2022,1,3,-2,Ágata,6.928,8.5,6.8,7.5,,7.0,7.222,5.0,7.3,6.7,,Masculino,12.0,2022,Escola Pública,Não,Não,3.0,Severa,1
RA-632,2022,1,2,-1,Ágata,6.996,8.5,9.3,6.9,,6.3,6.722,5.0,5.5,7.2,,Feminino,10.0,2022,Escola Pública,Não,Não,3.0,Moderada,1
RA-633,2022,1,2,-1,Ametista,7.476,7.3,8.9,7.5,,7.7,7.833,5.0,6.8,8.5,,Feminino,11.0,2020,Escola Pública,Não,Não,3.0,Moderada,1
RA-634,2022,1,2,-1,Ametista,7.619,9.5,9.4,7.5,,6.5,8.222,5.0,8.0,5.0,,Feminino,11.0,2022,Escola Pública,Não,Não,3.0,Moderada,1
RA-635,2022,1,2,-1,Quartzo,5.313,10.0,4.9,6.9,,1.5,6.444,5.0,0.5,2.5,,Masculino,10.0,2022,Escola Pública,Não,Não,3.0,Moderada,1
RA-636,2022,1,2,-1,Ametista,7.189,8.5,8.0,6.9,,7.3,7.389,5.0,7.3,7.3,,Masculino,10.0,2022,Escola Pública,Sim,Não,3.0,Moderada,1
RA-637,2022,1,2,-1,Ametista,7.039,8.5,9.0,7.5,,5.8,7.0,5.0,4.8,6.8,,Feminino,10.0,2021,Escola Pública,Não,Não,3.0,Moderada,1
RA-638,2022,1,1,0,Ametista,7.059,8.5,9.3,7.5,,3.9,6.278,10.0,2.0,5.8,,Feminino,9.0,2020,Escola Pública,Não,Não,3.0,Em fase/Avancado,0
RA-639,2022,1,2,-1,Ágata,6.613,8.5,7.4,7.5,,5.5,6.611,5.0,3.2,7.8,,Feminino,10.0,2021,Escola Pública,Não,Não,3.0,Moderada,1
RA-640,2022,1,2,-1,Ágata,6.73,9.0,8.4,7.5,,4.8,6.778,5.0,2.5,7.0,,Feminino,11.0,2022,Escola Pública,Não,Não,3.0,Moderada,1
RA-641,2022,1,1,0,Ametista,7.776,9.0,9.3,7.5,,6.5,6.778,10.0,4.5,8.5,,Feminino,9.0,2022,Escola Pública,Não,Não,3.0,Em fase/Avancado,0
RA-642,2022,1,2,-1,Ametista,7.75,10.0,9.7,6.9,,7.3,7.778,5.0,7.0,7.7,,Feminino,10.0,2021,Escola Pública,Não,Não,3.0,Moderada,1
RA-643,2022,1,2,-1,Ágata,6.763,9.0,8.0,7.5,,6.2,6.722,5.0,6.3,6.0,,Masculino,10.0,2022,Escola Pública,Não,Não,3.0,Moderada,1
RA-644,2022,1,2,-1,Ametista,7.83,9.5,8.0,7.5,,8.8,8.278,5.0,9.7,8.0,,Feminino,11.0,2021,Escola Pública,Sim,Não,3.0,Moderada,1
RA-645,2022,1,2,-1,Ágata,6.086,8.5,8.1,7.5,,2.0,6.833,5.0,4.0,0.0,,Feminino,10.0,2022,Escola Pública,Não,Não,3.0,Moderada,1
RA-646,2022,1,3,-2,Topázio,8.181,8.5,9.8,8.1,,8.4,8.389,5.0,8.8,8.0,,Masculino,13.0,2019,Escola Pública,Sim,Sim,3.0,Severa,1
RA-647,2022,1,2,-1,Ágata,6.606,9.5,8.6,7.5,,3.3,7.278,5.0,1.5,5.2,,Masculino,10.0,2022,Escola Pública,Não,Não,3.0,Moderada,1
RA-648,2022,1,3,-2,Ágata,6.736,9.0,7.5,6.9,,5.3,7.5,5.0,5.0,5.5,,Masculino,12.0,2019,Escola Pública,Não,Não,3.0,Severa,1
RA-649,2022,1,3,-2,Ametista,7.302,8.5,8.9,5.6,,7.4,7.611,5.0,6.3,8.5,,Feminino,12.0,2019,Escola Pública,Não,Não,3.0,Severa,1
RA-650,2022,1,2,-1,Ágata,7.004,6.9,8.7,5.6,,6.9,7.5,5.0,5.5,8.3,,Feminino,11.0,2021,Escola Pública,Não,Não,3.0,Moderada,1
RA-651,2022,1,2,-1,Ametista,7.866,8.5,9.3,7.5,,7.8,8.333,5.0,7.7,7.8,,Feminino,10.0,2022,Escola Pública,Sim,Não,3.0,Moderada,1
RA-652,2022,1,1,0,Topázio,8.151,8.0,9.6,7.5,,7.8,7.5,10.0,7.0,8.5,,Feminino,9.0,2022,Escola Pública,Não,Não,3.0,Em fase/Avancado,0
RA-653,2022,1,2,-1,Topázio,8.101,9.5,9.6,7.5,,9.3,7.5,5.0,9.5,9.0,,Feminino,11.0,2022,Escola Pública,Não,Não,3.0,Moderada,1
RA-654,2022,1,3,-2,Ametista,7.308,8.5,8.6,7.5,,6.8,7.556,5.0,5.5,8.0,,Feminino,12.0,2022,Escola Pública,Não,Não,3.0,Severa,1
RA-655,2022,1,3,-2,Ametista,7.785,7.5,9.2,7.5,,8.3,8.389,5.0,8.3,8.2,,Feminino,12.0,2019,Escola Pública,Sim,Sim,3.0,Severa,1
RA-656,2022,1,2,-1,Ágata,6.652,7.4,7.5,5.6,,6.3,7.5,5.0,5.0,7.5,,Feminino,11.0,2020,Escola Pública,Não,Não,3.0,Moderada,1
RA-657,2022,1,3,-2,Topázio,8.093,9.5,9.8,7.5,,9.0,7.5,5.0,9.0,9.0,,Feminino,12.0,2021,Escola Pública,Não,Não,3.0,Severa,1
RA-658,2022,1,2,-1,Ametista,7.407,10.0,9.3,7.5,,5.6,7.917,5.0,4.7,6.5,,Feminino,10.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-659,2022,1,2,-1,Ametista,7.783,8.0,7.8,7.5,,9.3,8.333,5.0,9.5,9.0,,Feminino,10.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-660,2022,1,1,0,Topázio,8.363,9.5,9.0,7.5,,6.9,9.083,10.0,5.8,8.0,,Feminino,9.0,2021,Escola Pública,Não,Sim,2.0,Em fase/Avancado,0
RA-661,2022,1,2,-1,Ametista,7.593,9.0,8.3,7.5,,7.8,7.917,5.0,8.3,7.3,,Masculino,11.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-662,2022,1,2,-1,Ametista,7.044,9.0,8.8,7.5,,6.8,6.083,5.0,5.7,7.8,,Feminino,11.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-663,2022,1,2,-1,Ágata,6.376,6.9,8.7,7.5,,5.8,5.25,5.0,5.0,6.5,,Masculino,10.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-664,2022,1,2,-1,Ametista,7.277,9.5,8.8,7.5,,6.3,7.167,5.0,5.0,7.5,,Feminino,10.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-665,2022,1,2,-1,Ágata,6.996,9.0,7.4,7.5,,6.8,7.25,5.0,6.5,7.0,,Feminino,11.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-666,2022,1,2,-1,Ametista,7.929,9.5,9.1,7.5,,7.8,8.833,5.0,8.0,7.5,,Masculino,10.0,2022,Escola Pública,Não,Sim,2.0,Moderada,1
RA-667,2022,1,2,-1,Quartzo,5.844,8.5,5.6,7.5,,4.5,5.833,5.0,3.7,5.3,,Masculino,11.0,2021,Escola Pública,Não,Não,2.0,Moderada,1
RA-668,2022,1,2,-1,Quartzo,4.365,6.9,3.3,7.5,,2.8,3.75,5.0,2.8,2.8,,Masculino,11.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-669,2022,1,2,-1,Ametista,7.475,9.0,9.7,7.5,,6.0,7.833,5.0,5.0,7.0,,Masculino,11.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-670,2022,1,2,-1,Ametista,7.451,8.0,8.8,7.5,,6.9,8.167,5.0,6.5,7.3,,Feminino,10.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-671,2022,0,1,-1,Ametista,7.617,8.5,8.2,8.1,,8.8,7.417,5.0,8.8,8.8,,Masculino,9.0,2021,Escola Pública,Não,Não,2.0,Moderada,1
RA-672,2022,0,1,-1,Ametista,7.48,8.5,8.5,8.1,,8.8,6.75,5.0,8.5,9.1,,Feminino,9.0,2021,Escola Pública,Não,Não,2.0,Moderada,1
RA-673,2022,0,0,0,Topázio,8.65,8.5,9.2,8.1,,9.2,8.583,10.0,9.4,8.9,,Feminino,8.0,2022,Escola Pública,Sim,Sim,2.0,Em fase/Avancado,0
RA-674,2022,0,0,0,Ametista,7.862,9.5,8.7,8.1,,8.0,6.333,10.0,8.9,7.0,,Masculino,8.0,2022,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
RA-675,2022,0,0,0,Ametista,7.576,10.0,6.6,8.1,,7.4,7.083,10.0,8.8,5.9,,Masculino,8.0,2022,Escola Pública,Sim,Não,2.0,Em fase/Avancado,0
RA-676,2022,0,1,-1,Ametista,7.911,8.5,8.6,8.1,,9.3,8.167,5.0,9.5,9.1,,Masculino,9.0,2021,Escola Pública,Sim,Não,2.0,Moderada,1
RA-677,2022,0,0,0,Topázio,8.358,10.0,9.4,7.5,,7.3,8.583,10.0,7.7,6.8,,Feminino,8.0,2021,Escola Pública,Não,Sim,2.0,Em fase/Avancado,0
RA-678,2022,0,1,-1,Ametista,8.0,9.0,10.0,6.9,,7.3,9.5,5.0,7.5,7.0,,Masculino,9.0,2022,Escola Pública,Não,Sim,2.0,Moderada,1
RA-679,2022,0,2,-2,Ametista,7.172,9.0,8.2,7.5,,6.3,7.833,5.0,6.7,5.8,,Masculino,10.0,2020,Escola Pública,Não,Não,2.0,Severa,1
RA-680,2022,0,2,-2,Ametista,7.518,9.5,8.8,7.5,,7.4,7.75,5.0,8.0,6.8,,Feminino,10.0,2019,Escola Pública,Não,Não,2.0,Severa,1
RA-681,2022,0,2,-2,Ametista,7.204,8.5,8.5,6.9,,6.5,8.0,5.0,6.5,6.5,,Masculino,10.0,2022,Escola Pública,Não,Não,2.0,Severa,1
RA-682,2022,0,2,-2,Ametista,7.625,9.5,9.1,7.5,,7.0,8.083,5.0,7.0,7.0,,Masculino,11.0,2022,Escola Pública,Não,Não,2.0,Severa,1
RA-683,2022,0,2,-2,Ágata,6.011,7.9,5.0,7.5,,4.0,8.083,5.0,8.0,0.0,,Masculino,10.0,2022,Escola Pública,Não,Não,2.0,Severa,1
RA-684,2022,0,0,0,Topázio,8.26,9.5,7.5,8.1,,9.3,7.917,10.0,9.0,9.6,,Masculino,7.0,2022,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
RA-685,2022,0,1,-1,Ágata,6.864,9.0,6.2,5.0,,8.0,7.833,5.0,8.0,8.0,,Masculino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-686,2022,0,1,-1,Ametista,7.729,7.5,8.6,8.1,,8.8,8.083,5.0,9.2,8.5,,Feminino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-687,2022,0,1,-1,Ametista,7.703,8.5,9.0,8.1,,8.3,8.0,5.0,9.0,7.5,,Masculino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-688,2022,0,1,-1,Ametista,7.771,8.5,9.7,7.5,,7.9,7.917,5.0,8.0,7.8,,Masculino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-689,2022,0,1,-1,Ágata,6.433,7.4,7.9,5.6,,5.8,6.667,5.0,6.0,5.5,,Feminino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-690,2022,0,1,-1,Ametista,7.541,9.5,9.5,7.5,,7.0,7.417,5.0,7.2,6.8,,Feminino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-691,2022,0,0,0,Topázio,8.68,10.0,9.2,8.1,,9.4,7.917,10.0,9.6,9.3,,Feminino,8.0,2022,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
RA-692,2022,0,1,-1,Ametista,7.569,9.5,8.9,8.1,,6.9,7.917,5.0,7.0,6.8,,Feminino,9.0,2021,Escola Pública,Não,Não,2.0,Moderada,1
RA-693,2022,0,0,0,Ametista,7.944,9.5,9.8,8.1,,5.7,7.667,10.0,5.0,6.3,,Feminino,7.0,2022,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
RA-694,2022,0,0,0,Topázio,8.378,10.0,9.0,8.1,,8.1,7.917,10.0,8.2,8.0,,Masculino,8.0,2022,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
RA-695,2022,0,0,0,Quartzo,4.28,9.0,3.1,7.5,,2.5,2.5,10.0,2.2,2.8,,Feminino,8.0,2021,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
RA-696,2022,0,1,-1,Ametista,7.441,8.5,9.0,7.5,,6.6,8.167,5.0,6.5,6.7,,Feminino,9.0,2021,Escola Pública,Não,Não,2.0,Moderada,1
RA-697,2022,0,2,-2,Ametista,7.675,7.0,9.3,7.5,,8.4,8.083,5.0,8.8,8.0,,Masculino,11.0,2021,Escola Pública,Não,Não,2.0,Severa,1
RA-698,2022,0,1,-1,Ametista,7.44,9.0,9.8,2.5,,8.1,8.083,5.0,8.0,8.2,,Masculino,9.0,2021,Escola Pública,Não,Não,2.0,Moderada,1
RA-699,2022,0,1,-1,Ágata,6.658,5.2,9.2,7.5,,7.1,6.0,5.0,7.5,6.7,,Masculino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-700,2022,0,1,-1,Ametista,7.738,9.0,8.7,7.5,,9.2,7.083,5.0,9.2,9.2,,Feminino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-701,2022,0,2,-2,Ametista,7.755,9.0,9.3,7.5,,8.7,7.417,5.0,8.7,8.7,,Masculino,10.0,2021,Escola Pública,Não,Não,2.0,Severa,1
RA-702,2022,0,0,0,Ametista,7.387,10.0,8.6,5.0,,6.8,7.0,10.0,7.0,6.7,,Feminino,8.0,2022,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
RA-703,2022,0,2,-2,Ágata,6.099,7.5,7.4,5.0,,5.1,6.833,5.0,5.3,4.8,,Masculino,10.0,2021,Escola Pública,Não,Não,2.0,Severa,1
RA-704,2022,0,2,-2,Ágata,6.741,9.0,8.6,5.0,,7.2,6.583,5.0,7.7,6.6,,Masculino,10.0,2022,Escola Pública,Não,Não,2.0,Severa,1
RA-705,2022,0,2,-2,Ágata,6.634,9.5,6.2,7.5,,7.1,6.333,5.0,7.0,7.2,,Masculino,10.0,2022,Escola Pública,Não,Não,2.0,Severa,1
RA-706,2022,0,2,-2,Ametista,7.659,9.5,6.7,7.5,,9.1,8.417,5.0,9.1,9.1,,Feminino,10.0,2021,Escola Pública,Não,Sim,2.0,Severa,1
RA-707,2022,0,2,-2,Ametista,7.679,10.0,8.1,6.9,,8.5,8.083,5.0,8.8,8.2,,Feminino,10.0,2020,Escola Pública,Não,Não,2.0,Severa,1
RA-708,2022,0,1,-1,Ametista,7.282,8.0,8.4,7.5,,7.3,7.583,5.0,7.1,7.6,,Masculino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-709,2022,0,2,-2,Quartzo,5.313,9.5,3.5,7.5,,2.3,7.083,5.0,2.3,2.3,,Feminino,10.0,2022,Escola Pública,Não,Não,2.0,Severa,1
RA-710,2022,0,2,-2,Ametista,7.285,9.5,8.9,5.0,,6.9,8.0,5.0,7.0,6.8,,Masculino,10.0,2020,Escola Pública,Não,Não,2.0,Severa,1
RA-711,2022,0,1,-1,Ágata,6.04,9.0,7.9,6.3,,3.5,6.0,5.0,4.0,3.0,,Masculino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-712,2022,0,2,-2,Ágata,6.026,8.0,5.1,5.0,,8.0,5.833,5.0,8.7,7.3,,Masculino,11.0,2019,Escola Pública,Não,Não,2.0,Severa,1
RA-713,2022,0,1,-1,Ametista,7.42,10.0,8.7,7.5,,7.8,7.25,5.0,8.0,7.7,,Masculino,9.0,2021,Escola Pública,Não,Não,2.0,Moderada,1
RA-714,2022,0,2,-2,Ágata,6.953,9.0,6.9,5.6,,8.0,7.25,5.0,8.5,7.5,,Masculino,11.0,2019,Escola Pública,Não,Não,2.0,Severa,1
RA-715,2022,0,1,-1,Ágata,6.656,8.5,8.7,4.4,,4.9,7.917,5.0,4.8,5.0,,Feminino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-716,2022,0,1,-1,Ágata,6.525,8.9,8.1,7.5,,6.7,5.417,5.0,7.3,6.0,,Masculino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-717,2022,0,2,-2,Ágata,6.832,9.0,7.3,7.5,,5.4,7.917,5.0,5.0,5.8,,Feminino,10.0,2021,Escola Pública,Não,Não,2.0,Severa,1
RA-718,2022,0,0,0,Topázio,8.093,8.0,8.9,6.3,,9.2,7.417,10.0,9.2,9.2,,Feminino,8.0,2022,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
RA-719,2022,0,2,-2,Quartzo,5.552,9.0,4.6,7.5,,4.2,6.083,5.0,5.0,3.3,,Feminino,10.0,2021,Escola Pública,Não,Não,2.0,Severa,1
RA-720,2022,0,1,-1,Ágata,6.731,8.0,5.9,7.5,,7.6,7.083,5.0,7.3,7.8,,Feminino,9.0,2021,Escola Pública,Não,Não,2.0,Moderada,1
RA-721,2022,0,0,0,Ametista,7.973,9.5,8.1,7.5,,7.6,7.917,10.0,8.2,7.0,,Feminino,8.0,2021,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
RA-722,2022,0,1,-1,Ametista,7.41,10.0,8.1,4.4,,8.1,8.333,5.0,7.8,8.3,,Feminino,9.0,2021,Escola Pública,Não,Não,2.0,Moderada,1
RA-723,2022,0,0,0,Ametista,7.426,10.0,6.6,8.1,,5.5,8.167,10.0,5.3,5.7,,Feminino,8.0,2022,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
RA-724,2022,0,0,0,Ágata,6.931,9.5,5.9,5.6,,5.6,8.0,10.0,2.9,8.3,,Feminino,8.0,2022,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
RA-725,2022,0,0,0,Ágata,6.33,8.0,5.9,8.1,,5.0,5.5,10.0,4.0,6.0,,Masculino,8.0,2022,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
RA-726,2022,0,0,0,Ágata,6.985,10.0,7.5,7.5,,4.4,6.583,10.0,5.8,3.0,,Feminino,7.0,2022,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
RA-727,2022,0,0,0,Ametista,7.736,9.0,7.7,8.1,,8.4,6.75,10.0,9.3,7.4,,Masculino,8.0,2022,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
RA-728,2022,0,0,0,Topázio,8.244,9.5,7.3,8.1,,9.1,8.167,10.0,9.3,8.9,,Feminino,8.0,2022,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
RA-729,2022,0,0,0,Topázio,8.155,10.0,8.7,8.1,,8.1,7.25,10.0,8.5,7.8,,Feminino,8.0,2022,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
RA-730,2022,0,2,-2,Ametista,7.902,10.0,8.2,8.8,,8.3,8.25,5.0,8.7,8.0,,Feminino,10.0,2021,Escola Pública,Não,Não,2.0,Severa,1
RA-731,2022,0,2,-2,Ametista,7.151,9.0,8.5,6.9,,7.3,7.083,5.0,7.3,7.2,,Feminino,10.0,2019,Escola Pública,Não,Não,2.0,Severa,1
RA-732,2022,0,1,-1,Ametista,7.347,9.0,7.9,8.8,,7.2,7.5,5.0,7.5,6.8,,Masculino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-733,2022,0,1,-1,Ágata,6.684,9.5,8.5,5.6,,5.1,6.917,5.0,6.0,4.2,,Feminino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-734,2022,0,2,-2,Ágata,6.952,9.5,7.2,5.6,,7.3,7.417,5.0,8.0,6.5,,Feminino,10.0,2022,Escola Pública,Não,Não,2.0,Severa,1
RA-735,2022,0,2,-2,Ametista,7.485,9.0,9.0,5.6,,7.3,8.583,5.0,7.8,6.7,,Feminino,10.0,2021,Escola Pública,Não,Sim,2.0,Severa,1
RA-736,2022,0,2,-2,Ágata,6.707,9.0,8.5,5.6,,5.4,7.0,5.0,4.7,6.2,,Masculino,10.0,2022,Escola Pública,Não,Não,2.0,Severa,1
RA-737,2022,0,1,-1,Ametista,8.058,9.5,9.2,5.6,,9.0,9.167,5.0,8.5,9.5,,Feminino,9.0,2022,Escola Pública,Não,Sim,2.0,Moderada,1
RA-738,2022,0,0,0,Ametista,7.227,8.5,8.1,5.6,,5.7,7.5,10.0,7.7,3.7,,Feminino,8.0,2022,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
RA-739,2022,0,0,0,Ágata,6.82,6.4,7.3,5.6,,5.9,7.083,10.0,6.0,5.8,,Masculino,8.0,2022,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
RA-740,2022,0,1,-1,Ametista,7.218,8.5,9.0,5.6,,7.2,7.5,5.0,7.3,7.0,,Feminino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-741,2022,0,2,-2,Ágata,6.896,9.5,8.4,5.6,,6.3,7.417,5.0,7.3,5.2,,Feminino,10.0,2022,Escola Pública,Não,Não,2.0,Severa,1
RA-742,2022,0,1,-1,Ametista,7.097,8.5,8.7,5.0,,7.3,7.5,5.0,8.3,6.2,,Feminino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-743,2022,0,1,-1,Ágata,6.672,10.0,7.9,5.6,,4.8,7.5,5.0,4.8,4.8,,Feminino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-744,2022,0,0,0,Ametista,7.742,9.5,9.7,5.6,,6.2,7.5,10.0,6.0,6.3,,Feminino,8.0,2022,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
RA-745,2022,0,1,-1,Ametista,7.382,9.0,8.5,5.6,,8.1,7.75,5.0,8.5,7.7,,Masculino,9.0,2021,Rede Decisão,Não,Não,2.0,Moderada,1
RA-746,2022,0,0,0,Ametista,7.656,8.0,9.1,5.6,,7.2,7.417,10.0,7.7,6.7,,Masculino,8.0,2022,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
RA-747,2022,0,2,-2,Ametista,7.676,10.0,7.6,7.5,,8.8,7.917,5.0,8.2,9.4,,Feminino,11.0,2022,Escola Pública,Sim,Não,2.0,Severa,1
RA-748,2022,0,1,-1,Topázio,8.084,10.0,9.0,7.5,,9.1,8.25,5.0,9.6,8.6,,Masculino,9.0,2022,Escola Pública,Sim,Não,2.0,Moderada,1
RA-749,2022,0,1,-1,Ametista,7.484,9.5,7.7,7.5,,8.8,7.25,5.0,9.5,8.1,,Masculino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-750,2022,0,2,-2,Ágata,6.344,9.5,8.9,4.4,,6.8,5.167,5.0,7.1,6.4,,Masculino,10.0,2019,Escola Pública,Não,Não,2.0,Severa,1
RA-751,2022,0,2,-2,Quartzo,5.246,8.5,5.8,7.5,,3.8,6.167,5.0,2.7,4.9,,Masculino,11.0,2022,Escola Pública,Não,Não,2.0,Severa,1
RA-752,2022,0,2,-2,Topázio,8.197,10.0,9.0,7.5,,9.5,8.417,5.0,9.6,9.4,,Feminino,11.0,2022,Escola Pública,Sim,Sim,2.0,Severa,1
RA-753,2022,0,0,0,Topázio,8.481,9.5,8.6,7.5,,9.1,8.417,10.0,9.4,8.8,,Feminino,8.0,2022,Escola Pública,Sim,Sim,2.0,Em fase/Avancado,0
RA-754,2022,0,1,-1,Ágata,6.602,10.0,5.8,4.4,,7.9,6.917,5.0,7.8,8.1,,Masculino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-755,2022,0,0,0,Topázio,8.566,9.5,9.2,6.9,,9.5,8.083,10.0,9.8,9.3,,Masculino,8.0,2022,Escola Pública,Sim,Não,2.0,Em fase/Avancado,0
RA-756,2022,0,1,-1,Ágata,6.976,10.0,7.9,7.5,,5.7,7.25,5.0,5.6,5.8,,Masculino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-757,2022,0,1,-1,Topázio,8.26,9.5,9.3,7.5,,9.7,8.5,5.0,9.9,9.6,,Feminino,9.0,2022,Escola Pública,Sim,Sim,2.0,Moderada,1
RA-758,2022,0,1,-1,Ametista,7.911,9.0,9.1,7.5,,8.1,8.333,5.0,8.0,8.2,,Masculino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-759,2022,0,2,-2,Ametista,7.563,9.0,8.6,7.5,,7.5,7.833,5.0,8.3,6.7,,Feminino,10.0,2021,Escola Pública,Não,Não,2.0,Severa,1
RA-760,2022,0,2,-2,Topázio,8.172,9.0,9.2,7.5,,8.8,8.917,5.0,9.3,8.2,,Masculino,11.0,2021,Escola Pública,Não,Sim,2.0,Severa,1
RA-761,2022,0,1,-1,Topázio,8.06,10.0,9.4,7.5,,8.2,8.25,5.0,8.8,7.5,,Masculino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-762,2022,0,3,-3,Ametista,7.28,10.0,9.7,7.5,,6.7,7.083,2.5,7.3,6.0,,Masculino,12.0,2022,Escola Pública,Não,Não,2.0,Severa,1
RA-763,2022,0,2,-2,Ametista,7.402,9.5,9.7,7.5,,6.5,7.167,5.0,6.3,6.7,,Feminino,10.0,2021,Escola Pública,Não,Não,2.0,Severa,1
RA-764,2022,0,0,0,Ametista,8.004,9.0,8.8,7.5,,7.5,7.667,10.0,7.2,7.8,,Masculino,8.0,2022,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
RA-765,2022,0,1,-1,Ágata,6.902,8.5,9.3,7.5,,4.3,7.417,5.0,5.0,3.7,,Masculino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-766,2022,0,2,-2,Topázio,8.185,10.0,9.5,7.5,,8.7,8.333,5.0,8.5,8.8,,Feminino,11.0,2020,Escola Pública,Não,Não,2.0,Severa,1
RA-767,2022,0,2,-2,Ametista,7.511,9.5,9.0,7.5,,7.0,7.583,5.0,7.3,6.7,,Masculino,10.0,2021,Escola Pública,Não,Não,2.0,Severa,1
RA-768,2022,0,2,-2,Ametista,7.646,9.0,10.0,7.5,,7.1,7.583,5.0,7.0,7.2,,Feminino,10.0,2021,Escola Pública,Não,Não,2.0,Severa,1
RA-769,2022,0,1,-1,Ametista,7.598,10.0,7.5,7.5,,7.9,8.5,5.0,9.6,6.2,,Feminino,9.0,2022,Escola Pública,Sim,Sim,2.0,Moderada,1
RA-770,2022,0,0,0,Topázio,8.143,9.5,8.9,7.5,,8.3,7.333,10.0,8.5,8.1,,Masculino,7.0,2022,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
RA-771,2022,0,0,0,Ametista,7.873,10.0,8.3,7.5,,7.0,7.5,10.0,7.2,6.9,,Feminino,7.0,2022,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
RA-772,2022,0,2,-2,Ágata,6.994,9.0,5.4,7.5,,9.2,7.25,5.0,9.3,9.2,,Masculino,11.0,2021,Escola Pública,Não,Não,2.0,Severa,1
RA-773,2022,0,1,-1,Ágata,6.922,10.0,6.8,5.0,,8.1,7.083,5.0,9.3,6.8,,Feminino,9.0,2022,Escola Pública,Não,Não,2.0,Moderada,1
RA-774,2022,0,0,0,Ametista,7.587,10.0,7.8,7.5,,6.1,7.417,10.0,7.8,4.4,,Feminino,8.0,2022,Escola Pública,Não,Não,2.0,Em fase/Avancado,0
